Matrix column index,Model name,State variable
171,Grid\G 07.ElmSym,"""psi1d"""
172,Grid\G 07.ElmSym,"""psifd"""
173,Grid\G 07.ElmSym,"""psi1q"""
174,Grid\G 07.ElmSym,"""psi2q"""
175,Grid\G 07.ElmSym,"""speed"""
176,Grid\G 07.ElmSym,"""phi"""
177,Grid\G 08.ElmSym,"""psi1d"""
178,Grid\G 08.ElmSym,"""psifd"""
179,Grid\G 08.ElmSym,"""psi1q"""
180,Grid\G 08.ElmSym,"""psi2q"""
181,Grid\G 08.ElmSym,"""speed"""
182,Grid\G 08.ElmSym,"""phi"""
183,Grid\G 09.ElmSym,"""psi1d"""
184,Grid\G 09.ElmSym,"""psifd"""
185,Grid\G 09.ElmSym,"""psi1q"""
186,Grid\G 09.ElmSym,"""psi2q"""
187,Grid\G 09.ElmSym,"""speed"""
188,Grid\G 09.ElmSym,"""phi"""
189,Grid\G 10.ElmSym,"""psi1d"""
190,Grid\G 10.ElmSym,"""psifd"""
191,Grid\G 10.ElmSym,"""psi1q"""
192,Grid\G 10.ElmSym,"""speed"""
193,Grid\G 10.ElmSym,"""phi"""
Matrix column index,Model name,Additional state variable
194,Grid\DFIG_2.5MW.ElmAsm,"""psiA1_r"""
195,Grid\DFIG_2.5MW.ElmAsm,"""psiA1_i"""
196,Grid\DFIG_2.5MW.ElmAsm,"""psiA2_r"""
197,Grid\DFIG_2.5MW.ElmAsm,"""psiA2_i"""
198,Grid\DFIG_2.5MW.ElmAsm,"""psiB_r"""
199,Grid\DFIG_2.5MW.ElmAsm,"""psiB_i"""
200,Grid\DFIG_2.5MW(1).ElmAsm,"""psiA1_r"""
201,Grid\DFIG_2.5MW(1).ElmAsm,"""psiA1_i"""
202,Grid\DFIG_2.5MW(1).ElmAsm,"""psiA2_r"""
203,Grid\DFIG_2.5MW(1).ElmAsm,"""psiA2_i"""
204,Grid\DFIG_2.5MW(1).ElmAsm,"""psiB_r"""
205,Grid\DFIG_2.5MW(1).ElmAsm,"""psiB_i"""
206,Grid\DFIG_2.5MW(2).ElmAsm,"""psiA1_r"""
207,Grid\DFIG_2.5MW(2).ElmAsm,"""psiA1_i"""
208,Grid\DFIG_2.5MW(2).ElmAsm,"""psiA2_r"""
209,Grid\DFIG_2.5MW(2).ElmAsm,"""psiA2_i"""
210,Grid\DFIG_2.5MW(2).ElmAsm,"""psiB_r"""
211,Grid\DFIG_2.5MW(2).ElmAsm,"""psiB_i"""
