"b:tnow in s","s:ut in p.u.","s:cur1 in p.u.","s:Q1 in Mvar","s:P1 in MW"
2.580000,1.025717,0.820827,219.528623,725.245251
2.590000,1.024545,0.822555,221.933254,725.273045
2.600000,1.023373,0.824174,224.290542,725.200869
2.610000,1.022203,0.825686,226.597262,725.031812
2.620000,1.021038,0.827091,228.850278,724.769124
2.630000,1.019878,0.828389,231.046443,724.416800
2.640000,1.018725,0.829583,233.182855,723.979001
2.650000,1.017581,0.830673,235.256809,723.459832
2.660000,1.016447,0.831662,237.265263,722.863258
2.670000,1.015324,0.832551,239.205487,722.193736
2.680000,1.014214,0.833342,241.075766,721.456312
2.690000,1.013119,0.834039,242.874698,720.655709
2.700000,1.012039,0.834643,244.600646,719.796647
2.710000,1.010977,0.835157,246.251987,718.884380
2.720000,1.009933,0.835584,247.827276,717.924301
2.730000,1.008910,0.835928,249.325287,716.921667
2.740000,1.007909,0.836192,250.744968,715.881675
2.750000,1.006931,0.836378,252.085392,714.809467
2.760000,1.005978,0.836490,253.345708,713.710157
2.770000,1.005050,0.836532,254.525205,712.588764
2.780000,1.004148,0.836507,255.623338,711.450236
2.790000,1.003274,0.836418,256.639736,710.299449
2.800000,1.002429,0.836269,257.574206,709.141186
2.810000,1.001614,0.836063,258.426730,707.980115
2.820000,1.000829,0.835804,259.197435,706.820749
2.830000,1.000076,0.835494,259.886505,705.667414
2.840000,0.999356,0.835138,260.494135,704.524264
2.850000,0.998669,0.834738,261.020560,703.395244
2.860000,0.998016,0.834298,261.466119,702.284075
2.870000,0.997397,0.833820,261.831264,701.194311
2.880000,0.996814,0.833307,262.116565,700.129445
2.890000,0.996267,0.832762,262.322670,699.092747
2.900000,0.995757,0.832189,262.450130,698.087246
2.910000,0.995284,0.831589,262.499525,697.115735
2.920000,0.994848,0.830965,262.471541,696.180810
2.930000,0.994450,0.830320,262.366985,695.284889
2.940000,0.994090,0.829655,262.186768,694.430194
2.950000,0.993769,0.828974,261.931880,693.618743
2.960000,0.993488,0.828277,261.603350,692.852316
2.970000,0.993246,0.827567,261.202193,692.132434
2.980000,0.993043,0.826845,260.729431,691.460374
2.990000,0.992881,0.826114,260.186108,690.837179
3.000000,0.992759,0.825373,259.573296,690.263657
3.010000,0.992677,0.824624,258.892089,689.740387
3.020000,0.992636,0.823869,258.143610,689.267714
3.030000,0.992635,0.823108,257.329010,688.845758
3.040000,0.992675,0.822341,256.449468,688.474408
3.050000,0.992755,0.821570,255.506194,688.153331
3.060000,0.992876,0.820794,254.500429,687.881975
3.070000,0.993037,0.820014,253.433445,687.659569
3.080000,0.993238,0.819230,252.306551,687.485127
3.090000,0.993478,0.818442,251.121088,687.357458
3.100000,0.993759,0.817649,249.878436,687.275166
3.110000,0.994078,0.816851,248.580013,687.236657
3.120000,0.994436,0.816047,247.227279,687.240146
3.130000,0.994833,0.815238,245.821734,687.283662
3.140000,0.995268,0.814421,244.364924,687.365058
3.150000,0.995740,0.813596,242.858436,687.482016
3.160000,0.996249,0.812762,241.303909,687.632057
3.170000,0.996795,0.811918,239.703027,687.812552
3.180000,0.997376,0.811063,238.057522,688.020725
3.190000,0.997992,0.810195,236.369179,688.253672
3.200000,0.998642,0.809313,234.639832,688.508364
3.210000,0.999325,0.808416,232.871365,688.781667
3.220000,1.000040,0.807501,231.065712,689.070347
3.230000,1.000787,0.806568,229.224860,689.371085
3.240000,1.001564,0.805615,227.350843,689.680491
3.250000,1.002371,0.804639,225.445759,689.995050
3.260000,1.003206,0.803640,223.511725,690.311233
