Gen,Signal,Method,Frequency,Damping,Amplitude,Phase
g1,Active Power,Order 2,0.5483081003283153,-0.1108217458273429,1.9247936173708053,-0.7796271651862229
g1,Active Power,Order 4,1.0434640406238058,-0.8381662359711297,3.2804078337285016,2.8112334808987023
g1,Active Power,Order 4,0.5423188554667773,-0.12087385628788593,2.0858115063657316,-0.5082200060510018
g1,Active Power,Order 6,1.0376161580830419,-0.7318730077015346,2.854718952261042,2.8935598962918254
g1,Active Power,Order 6,0.5432242732901128,-0.1252701747300946,2.164437854190689,-0.5570172631563464
g1,Active Power,Tau 1,1.0434640406238058,-0.8381662359711297,3.2804078337285016,2.8112334808987023
g1,Active Power,Tau 1,0.5423188554667773,-0.12087385628788593,2.0858115063657316,-0.5082200060510018
g1,Active Power,Tau 0.1,1.037690640403521,-0.7322314308667548,2.8546932034517107,2.8925643589169705
g1,Active Power,Tau 0.1,0.5432151023291807,-0.12518264823594594,2.163223390711633,-0.5563610040218042
g1,Active Power,Tau 0.01,1.037690640403521,-0.7322314308667548,2.8546932034517107,2.8925643589169705
g1,Active Power,Tau 0.01,0.5432151023291807,-0.12518264823594594,2.163223390711633,-0.5563610040218042
g1,Reactive Power,Order 2,0.5433619021014535,-0.12501780445666943,5.431137936157535,-0.9881854149218376
g1,Reactive Power,Order 4,0.5434249870518986,-0.12543627683091144,5.448644326960853,-0.990871800962253
g1,Reactive Power,Order 4,0.010224867386464213,-0.0015728359877583771,0.0836168581466975,2.5484929594856975
g1,Reactive Power,Order 6,0.5430176934318035,-0.1259969577992945,5.469483680169847,-0.9706106592526581
g1,Reactive Power,Order 6,1.038433022390241,-0.7660805299429092,0.5966035441670262,2.4566886072042933
g1,Reactive Power,Order 6,0.012602160058153851,-0.005468287234848488,0.08682155009310566,2.08951651383465
g1,Reactive Power,Tau 1,0.5433619021014535,-0.12501780445666943,5.431137936157535,-0.9881854149218376
g1,Reactive Power,Tau 0.1,0.5434249870518986,-0.12543627683091144,5.448644326960853,-0.990871800962253
g1,Reactive Power,Tau 0.1,0.010224867386464213,-0.0015728359877583771,0.0836168581466975,2.5484929594856975
g1,Reactive Power,Tau 0.01,0.5430176934318035,-0.1259969577992945,5.469483680169847,-0.9706106592526581
g1,Reactive Power,Tau 0.01,1.038433022390241,-0.7660805299429092,0.5966035441670262,2.4566886072042933
g1,Reactive Power,Tau 0.01,0.012602160058153851,-0.005468287234848488,0.08682155009310566,2.08951651383465
g2,Voltage,Order 2,0.5425487289548299,-0.12889088241305288,0.003483875102150206,1.940518310171738
g2,Voltage,Order 4,0.5426099498523406,-0.12938671965635823,0.003496531663724701,1.938265587122064
g2,Voltage,Order 4,0.012127835980938811,-0.008085228890443951,6.40115259368578e-05,-0.8560441439906822
g2,Voltage,Order 6,0.5430797610810213,-0.1266840055895982,0.0034223791942189826,1.915405261095654
g2,Voltage,Tau 1,0.5425487289548299,-0.12889088241305288,0.003483875102150206,1.940518310171738
g2,Voltage,Tau 0.1,0.5430696027873657,-0.12627511715506817,0.003409932657784087,1.9158080885131656
g2,Voltage,Tau 0.01,0.5430696027873657,-0.12627511715506817,0.003409932657784087,1.9158080885131656
g2,Current,Order 2,0.5415092895854414,-0.12523199439128915,0.006171168275070693,-0.826257321955754
g2,Current,Order 4,0.5425396083154895,-0.1007943431248522,0.005211371584142411,-0.8616635312904882
g2,Current,Order 4,0.30869292798200976,-0.8367329250764898,0.0025763974842286626,0.5542982248503373
g2,Current,Order 6,1.0523872659453073,-0.7755657342490825,0.00356255216802508,-0.22014334832927906
g2,Current,Order 6,0.5429935298733375,-0.12559537478669297,0.006207067301414673,-0.9038882502957502
g2,Current,Order 6,0.00479004364300066,0.0008363442690520395,0.00014751732338984429,-2.5744889021880035
g2,Current,Tau 1,0.5415092895854414,-0.12523199439128915,0.006171168275070693,-0.826257321955754
g2,Current,Tau 0.1,0.5415092895854414,-0.12523199439128915,0.006171168275070693,-0.826257321955754
g2,Current,Tau 0.01,1.0523872659453073,-0.7755657342490825,0.00356255216802508,-0.22014334832927906
g2,Current,Tau 0.01,0.5429935298733375,-0.12559537478669297,0.006207067301414673,-0.9038882502957502
g2,Current,Tau 0.01,0.00479004364300066,0.0008363442690520395,0.00014751732338984429,-2.5744889021880035
g2,Active Power,Order 2,0.5393191302448642,-0.14369640392401195,1.7116653879952164,-0.07983581340547874
g2,Active Power,Order 4,1.0475796817990581,-0.7187719852564979,3.123974237447779,-0.12375048556987976
g2,Active Power,Order 4,0.5418669335898185,-0.12198030349247917,1.479810785780875,-0.25691412435377453
g2,Active Power,Order 6,1.0585218400591658,-0.7735012160387081,3.343712704160522,-0.2206662126976547
g2,Active Power,Order 6,0.5431140894292439,-0.1233559491098685,1.4947673304630509,-0.32273306882679803
