Gen,Signal,Method,R2,RMSE,Poles
g3,Reactive Power,Tau 1,0.8627938029485294,0.010677948537640968,1
g3,Reactive Power,Tau 0.1,0.950219774975461,0.006431753441894008,3
g3,Reactive Power,Tau 0.01,0.950219774975461,0.006431753441894008,3
g5,Voltage,Order 2,0.7184506706166333,6.297809360295717e-06,1
g5,Voltage,Order 4,0.6888302763826983,6.620807005284441e-06,3
g5,Voltage,Order 6,0.9799199412665517,1.6818790109834368e-06,3
g5,Voltage,Tau 1,0.6888302763826983,6.620807005284441e-06,3
g5,Voltage,Tau 0.1,0.855279315674591,4.515205958256101e-06,3
g5,Voltage,Tau 0.01,0.9959421295013918,7.560688629206691e-07,6
g5,Current,Order 2,0.6655454595184769,5.510816800939751e-05,1
g5,Current,Order 4,0.9515178376165216,2.0981590982398477e-05,2
g5,Current,Order 6,0.9175217183149013,2.7366372109581658e-05,3
g5,Current,Tau 1,-11.21038395852889,0.00033297535146339013,2
g5,Current,Tau 0.1,-6.429924966973014,0.00025974048052161214,4
g5,Current,Tau 0.01,0.9948826846910227,6.81661105158707e-06,4
g5,Reactive Power,Order 2,-1.4893033282336785,0.03330551494033828,1
g5,Reactive Power,Order 4,0.9571019466081193,0.004372159888140097,2
g5,Reactive Power,Order 6,0.00030190796701035083,0.02110627898809528,4
g5,Reactive Power,Tau 1,0.9571019466081193,0.004372159888140097,2
g5,Reactive Power,Tau 0.1,0.9571019466081193,0.004372159888140097,2
g5,Reactive Power,Tau 0.01,0.9571019466081193,0.004372159888140097,2
g6,Voltage,Order 2,0.7016392833547057,1.212157909004643e-05,1
g6,Voltage,Order 4,-3.4996353755568492,4.707355959592593e-05,2
g6,Voltage,Order 6,0.9951189777558216,1.5504000442461194e-06,3
g6,Voltage,Tau 1,0.7016392833547057,1.212157909004643e-05,1
g6,Voltage,Tau 0.1,0.9981374611781393,9.577254881394918e-07,4
g6,Voltage,Tau 0.01,0.8803608799791867,7.675823566903119e-06,6
g6,Current,Order 2,0.7576598107996255,5.690533675978584e-05,1
g6,Current,Order 4,0.8495619144916257,4.483520661206238e-05,2
g6,Current,Order 6,0.9027452358526178,3.604920727398899e-05,3
g6,Current,Tau 1,0.7576598107996255,5.690533675978584e-05,1
g6,Current,Tau 0.1,0.9111601142830348,3.445436673638178e-05,3
g6,Current,Tau 0.01,0.998913644437397,3.810011378823394e-06,4
g6,Reactive Power,Order 2,0.8475196193635504,0.03847706568660327,1
g6,Reactive Power,Order 4,0.979085052606166,0.014250278410007483,2
g6,Reactive Power,Order 6,0.9958069323233476,0.006380590854326706,3
g6,Reactive Power,Tau 1,0.979085052606166,0.014250278410007483,2
g6,Reactive Power,Tau 0.1,0.25159653052759945,0.08524381092107605,4
g6,Reactive Power,Tau 0.01,0.25159653052759945,0.08524381092107605,4
g7,Voltage,Order 2,0.21141477913500506,1.2234709692165857e-05,1
g7,Voltage,Order 4,0.9783895679507993,2.0253546286505606e-06,2
g7,Voltage,Order 6,-1.6240135810852547,2.231785189681639e-05,2
g7,Voltage,Tau 1,0.9783895679507993,2.0253546286505606e-06,2
g7,Voltage,Tau 0.1,0.9753066631741246,2.1650066875087282e-06,5
g7,Voltage,Tau 0.01,0.9883514794291774,1.4869786654152887e-06,7
g7,Current,Order 2,0.778101678495969,4.83753314284614e-05,1
g7,Current,Order 4,0.864380683946316,3.781879785530123e-05,2
g7,Current,Order 6,0.9364474619392014,2.5888887876695384e-05,2
g7,Current,Tau 1,0.9420431177508916,2.472290228371442e-05,2
g7,Current,Tau 0.1,0.9420431177508916,2.472290228371442e-05,2
g7,Current,Tau 0.01,0.9943364779514191,7.728411582384473e-06,4
g7,Reactive Power,Order 2,-5.882912179270707,0.07139853648162375,1
g7,Reactive Power,Order 4,0.9046583933367515,0.008403194749318645,2
g7,Reactive Power,Order 6,0.9885249328321355,0.002915283628506916,3
g7,Reactive Power,Tau 1,-5.882912179270707,0.07139853648162375,1
g7,Reactive Power,Tau 0.1,0.9899185450886551,0.002732529137694121,4
