Scenario,Gen,Signal,Method,Frequency,Damping,Amplitude,Phase
load03,g1,Current,Tau 0.01,0.004382956357369762,0.001707801261208981,0.00010307980888003543,-2.510882955487315
load03,g1,Active Power,Order 2,0.019693655446997804,-0.08304058887220961,2.6098189828380756,0.7345287576640315
load03,g1,Active Power,Order 4,0.28634536173310743,-0.20562321840774003,0.5460490250132425,-2.4442374942540517
load03,g1,Active Power,Order 4,0.020138298804542782,-0.07210737957845345,2.275215036250478,0.6907791004972397
load03,g1,Active Power,Order 6,0.6387757309179961,-0.3424512254663786,1.8341535495283277,2.031493299098149
load03,g1,Active Power,Order 6,0.013249290666882145,-0.38661714871052416,11.082128996287333,-1.2740684861213678
load03,g1,Active Power,Order 6,0.004152201239494268,0.001288048497592856,1.1564386103095214,-2.4591661763055606
load03,g1,Active Power,Tau 1,0.019693655446997804,-0.08304058887220961,2.6098189828380756,0.7345287576640315
load03,g1,Active Power,Tau 0.1,0.6387757309179961,-0.3424512254663786,1.8341535495283277,2.031493299098149
load03,g1,Active Power,Tau 0.1,0.013249290666882145,-0.38661714871052416,11.082128996287333,-1.2740684861213678
load03,g1,Active Power,Tau 0.1,0.004152201239494268,0.001288048497592856,1.1564386103095214,-2.4591661763055606
load03,g1,Active Power,Tau 0.01,0.6387757309179961,-0.3424512254663786,1.8341535495283277,2.031493299098149
load03,g1,Active Power,Tau 0.01,0.013249290666882145,-0.38661714871052416,11.082128996287333,-1.2740684861213678
load03,g1,Active Power,Tau 0.01,0.004152201239494268,0.001288048497592856,1.1564386103095214,-2.4591661763055606
load03,g1,Reactive Power,Order 2,0.052032594937999936,-0.13929525024153866,0.25278865259899647,0.7816899832867804
load03,g1,Reactive Power,Order 4,0.6095917539525181,-0.45482767253442247,0.45975487289821354,-1.0344003461000906
load03,g1,Reactive Power,Order 4,0.03000362338934663,-0.026415779188947736,0.057515160170124265,1.5664666527506865
load03,g1,Reactive Power,Order 6,0.6415236217421546,-0.32100147910519017,0.3434030337029286,-1.2268587260766182
load03,g1,Reactive Power,Order 6,0.050385161213662516,-0.2807583610488335,0.344344336216656,0.8848641733189461
load03,g1,Reactive Power,Order 6,0.019758435790124148,0.006240158989310372,0.021946074807955435,-3.129929569239773
