Gen,Signal,Method,Frequency,Damping,Amplitude,Phase
g3,Reactive Power,Tau 1,1.0246662433079932,-0.8480098388709076,0.853186138973087,-0.4280938335958278
g3,Reactive Power,Tau 1,0.5415224961087426,-0.1202812278774155,0.6629977821908776,2.1433877686312743
g3,Reactive Power,Tau 0.1,1.0246662433079932,-0.8480098388709076,0.853186138973087,-0.4280938335958278
g3,Reactive Power,Tau 0.1,0.5415224961087426,-0.1202812278774155,0.6629977821908776,2.1433877686312743
g3,Reactive Power,Tau 0.01,1.0708645806645811,-0.7303811145995448,0.7612521466296445,-0.574997632898216
g3,Reactive Power,Tau 0.01,0.5431962464873051,-0.1241997608054499,0.6935796585238784,2.077110258140954
g4,Voltage,Order 2,0.5416953206781273,-0.1292377887948776,0.0011798058473934,1.7301503491142254
g4,Voltage,Order 4,0.5421503098422851,-0.1236451789620804,0.0011316105683319,1.7131395205949356
g4,Voltage,Order 6,0.5428534384870987,-0.1298500989704241,0.0011868370975571,1.673939855816931
g4,Voltage,Order 6,1.02681276875419,-0.7962285788664729,0.0003108492950777,2.1081936341487832
g4,Voltage,Tau 1,0.5416953206781273,-0.1292377887948776,0.0011798058473934,1.7301503491142254
g4,Voltage,Tau 0.1,0.5428988825485787,-0.1263149810244584,0.0011528844599359,1.6720578567694588
g4,Voltage,Tau 0.1,1.0601088559713217,-0.5657277865590293,0.0002130212460826,1.9361480105756
g4,Voltage,Tau 0.01,0.5428988825485787,-0.1263149810244584,0.0011528844599359,1.6720578567694588
g4,Voltage,Tau 0.01,1.0601088559713217,-0.5657277865590293,0.0002130212460826,1.9361480105756
g4,Current,Order 2,0.5418756711642877,-0.12523283423551,0.0092014017455563,2.153606915607149
g4,Current,Order 4,0.5424871881753323,-0.110923587030639,0.0084028147842475,2.1351733334382472
g4,Current,Order 6,0.5430138992405981,-0.126726767663348,0.0093279825875837,2.095815282158734
g4,Current,Order 6,1.0945921811895385,-0.8134444908817172,0.0041673470814915,2.905117379433384
g4,Current,Tau 1,0.5418756711642877,-0.12523283423551,0.0092014017455563,2.153606915607149
g4,Current,Tau 0.1,0.5430293243244565,-0.126828002776652,0.009334803663194,2.0951184855057634
g4,Current,Tau 0.1,1.094122826980896,-0.8172978038315354,0.0041833245812152,2.904909045683011
g4,Current,Tau 0.01,0.5430138992405981,-0.126726767663348,0.0093279825875837,2.095815282158734
g4,Current,Tau 0.01,1.0945921811895385,-0.8134444908817172,0.0041673470814915,2.905117379433384
g4,Active Power,Order 2,0.5418976193968761,-0.1256138329783759,9.596486585889153,2.120967402171887
g4,Active Power,Order 4,0.5424934663504477,-0.1123123124058018,8.810185823074423,2.1025603096201864
g4,Active Power,Order 6,0.5430226175054622,-0.127084128726671,9.72555472062728,2.0642639538111034
g4,Active Power,Order 6,1.0922024829922374,-0.8433969057798939,4.166503035322455,2.885309161857747
g4,Active Power,Tau 1,0.5418976193968761,-0.1256138329783759,9.596486585889153,2.120967402171887
g4,Active Power,Tau 0.1,0.5430433603948506,-0.1272199796122543,9.735498767140776,2.06332470317512
g4,Active Power,Tau 0.1,1.0912398122137204,-0.8494837825915338,4.190957050397411,2.886025543863083
g4,Active Power,Tau 0.01,0.5430029443626082,-0.1260535163592841,9.642589412693992,2.0654269334530326
g4,Active Power,Tau 0.01,1.0884054914392098,-0.7841662076469416,3.8645393030300106,2.9292612929341084
g4,Reactive Power,Order 2,0.543979357441576,-0.121741610195452,0.3306332572684494,-0.447385310148676
g4,Reactive Power,Order 4,0.5435439722314611,-0.1184820638111428,0.3222001699179307,-0.4131106064018605
g4,Reactive Power,Order 6,1.141781713679043,-1.030067477700641,0.346742582402682,0.9275695603020376
g4,Reactive Power,Order 6,0.543326704946018,-0.1312588827290277,0.3580259527605945,-0.4065888840768629
g4,Reactive Power,Tau 1,0.543979357441576,-0.121741610195452,0.3306332572684494,-0.447385310148676
g4,Reactive Power,Tau 0.1,0.543979357441576,-0.121741610195452,0.3306332572684494,-0.447385310148676
g4,Reactive Power,Tau 0.01,0.543979357441576,-0.121741610195452,0.3306332572684494,-0.447385310148676
