Gen,Signal,Method,R2,RMSE,Poles
g6,Active Power,Tau 0.01,-1.0007794887377885,0.16885008117667744,3
g6,Reactive Power,Order 2,0.8873546329467259,0.05017480863726445,1
g6,Reactive Power,Order 4,0.9765979896296718,0.0228694458469946,2
g6,Reactive Power,Order 6,0.9989349056582768,0.004878913251582199,3
g6,Reactive Power,Tau 1,0.9765979896296718,0.0228694458469946,2
g6,Reactive Power,Tau 0.1,0.9765979896296718,0.0228694458469946,2
g6,Reactive Power,Tau 0.01,0.999933246791046,0.001221420293830045,4
g7,Voltage,Order 2,0.3548408212260157,1.988324828572948e-05,1
g7,Voltage,Order 4,0.9243218853434559,6.8098735462580835e-06,2
g7,Voltage,Order 6,0.9966148808555183,1.4402599191716478e-06,3
g7,Voltage,Tau 1,0.945622096771441,5.7725157188998605e-06,2
g7,Voltage,Tau 0.1,0.9966148808555183,1.4402599191716478e-06,3
g7,Voltage,Tau 0.01,0.9984394048272025,9.77910310434516e-07,4
g7,Current,Order 2,0.663044279291114,8.636969463045878e-05,1
g7,Current,Order 4,0.9240998364469571,4.09917371198136e-05,2
g7,Current,Order 6,0.9880501654541813,1.6265069119124077e-05,3
g7,Current,Tau 1,0.9348944478479377,3.79650503601184e-05,2
g7,Current,Tau 0.1,-1.1707018921046655,0.0002192174186400154,3
g7,Current,Tau 0.01,-1.1707018921046655,0.0002192174186400154,3
g7,Active Power,Order 2,0.7610089924174892,0.05381998333161669,1
g7,Active Power,Order 4,0.8048552306966232,0.0486330196789685,2
g7,Active Power,Order 6,0.9882447609119825,0.01193626664882033,3
g7,Active Power,Tau 1,0.9069523294797998,0.03358192066143096,2
g7,Active Power,Tau 0.1,0.017971110532004175,0.10909752817074904,2
g7,Active Power,Tau 0.01,-1.1660209383860791,0.16202577374177335,3
g7,Reactive Power,Order 2,0.688435414509601,0.020994847494416456,1
g7,Reactive Power,Order 4,0.7884546025951867,0.01729977565523828,2
g7,Reactive Power,Order 6,0.7688599634835642,0.018083240969885426,2
g7,Reactive Power,Tau 1,0.7688599634835642,0.018083240969885426,2
g7,Reactive Power,Tau 0.1,0.824221018934054,0.015769653546062103,3
g7,Reactive Power,Tau 0.01,0.8362601647198442,0.015220042157417736,5
g8,Voltage,Order 4,-0.08364504745516976,4.039923818132535e-05,1
g8,Voltage,Order 6,0.9812374085848344,5.3158909217851485e-06,3
