"b:tnow in s","s:ut in p.u.","s:cur1 in p.u.","s:Q1 in Mvar","s:P1 in MW"
1.860000,1.031292,0.782139,185.011014,701.981592
1.870000,1.031159,0.782325,185.297798,701.987321
1.880000,1.031024,0.782509,185.583268,701.990017
1.890000,1.030888,0.782691,185.867163,701.990031
1.900000,1.030750,0.782870,186.149226,701.987706
1.910000,1.030612,0.783048,186.429203,701.983385
1.920000,1.030473,0.783225,186.706839,701.977408
1.930000,1.030333,0.783400,186.981885,701.970110
1.940000,1.030193,0.783573,187.254094,701.961815
1.950000,1.030053,0.783745,187.523224,701.952836
1.960000,1.029912,0.783917,187.789034,701.943475
1.970000,1.029771,0.784087,188.051286,701.934018
1.980000,1.029631,0.784257,188.309744,701.924739
1.990000,1.029490,0.784426,188.564176,701.915894
2.000000,1.029351,0.784594,188.814352,701.907722
2.010000,1.029211,0.784761,189.060044,701.900447
2.020000,1.029073,0.784928,189.301030,701.894272
2.030000,1.028935,0.785094,189.537090,701.889381
2.040000,1.028799,0.785260,189.768008,701.885935
2.050000,1.028664,0.785425,189.993574,701.884072
2.060000,1.028530,0.785589,190.213578,701.883910
2.070000,1.028397,0.785753,190.427815,701.885554
2.080000,1.028267,0.785915,190.636084,701.889091
2.090000,1.028138,0.786076,190.838189,701.894582
2.100000,1.028011,0.786237,191.033940,701.902066
2.110000,1.027887,0.786396,191.223152,701.911562
2.120000,1.027764,0.786553,191.405644,701.923068
2.130000,1.027644,0.786709,191.581242,701.936561
2.140000,1.027527,0.786863,191.749774,701.951996
2.150000,1.027412,0.787015,191.911077,701.969310
2.160000,1.027301,0.787164,192.064992,701.988421
2.170000,1.027192,0.787311,192.211365,702.009227
2.180000,1.027086,0.787455,192.350048,702.031610
2.190000,1.026984,0.787596,192.480899,702.055432
2.200000,1.026885,0.787733,192.603783,702.080543
2.210000,1.026790,0.787866,192.718570,702.106774
2.220000,1.026698,0.787996,192.825136,702.133943
2.230000,1.026610,0.788121,192.923364,702.161857
2.240000,1.026526,0.788241,193.013143,702.190307
2.250000,1.026446,0.788355,193.094368,702.219076
2.260000,1.026370,0.788465,193.166941,702.247934
2.270000,1.026298,0.788568,193.230773,702.276646
2.280000,1.026230,0.788666,193.285780,702.304969
2.290000,1.026167,0.788757,193.331889,702.332656
2.300000,1.026108,0.788841,193.369031,702.359455
2.310000,1.026053,0.788917,193.397151,702.385110
2.320000,1.026003,0.788986,193.416199,702.409365
2.330000,1.025958,0.789048,193.426136,702.431962
2.340000,1.025918,0.789101,193.426931,702.452646
2.350000,1.025882,0.789145,193.418563,702.471162
2.360000,1.025851,0.789181,193.401021,702.487259
2.370000,1.025824,0.789207,193.374303,702.500693
2.380000,1.025803,0.789225,193.338419,702.511222
2.390000,1.025786,0.789232,193.293387,702.518615
2.400000,1.025775,0.789230,193.239236,702.522647
2.410000,1.025768,0.789217,193.176006,702.523104
2.420000,1.025766,0.789195,193.103746,702.519779
2.430000,1.025769,0.789162,193.022519,702.512482
2.440000,1.025777,0.789118,192.932396,702.501030
2.450000,1.025789,0.789063,192.833458,702.485256
2.460000,1.025807,0.788998,192.725801,702.465007
2.470000,1.025829,0.788921,192.609528,702.440144
2.480000,1.025856,0.788834,192.484756,702.410544
2.490000,1.025888,0.788735,192.351609,702.376100
2.500000,1.025925,0.788625,192.210227,702.336722
2.510000,1.025966,0.788505,192.060756,702.292337
2.520000,1.026011,0.788373,191.903357,702.242890
2.530000,1.026062,0.788230,191.738200,702.188343
2.540000,1.026116,0.788077,191.565464,702.128677
2.550000,1.026175,0.787912,191.385342,702.063891
2.560000,1.026239,0.787737,191.198033,701.994003
2.570000,1.026306,0.787552,191.003751,701.919049
2.580000,1.026378,0.787356,190.802717,701.839085
2.590000,1.026453,0.787151,190.595162,701.754184
