"b:tnow in s","s:ut in p.u.","s:cur1 in p.u.","s:Q1 in Mvar","s:P1 in MW"
2.860000,0.964935,0.882308,324.934240,693.923973
2.870000,0.964170,0.882832,325.353283,693.558660
2.880000,0.963455,0.883294,325.675695,693.222917
2.890000,0.962792,0.883694,325.901880,692.917342
2.900000,0.962181,0.884032,326.032380,692.642385
2.910000,0.961623,0.884308,326.067859,692.398263
2.920000,0.961118,0.884520,326.009038,692.184969
2.930000,0.960667,0.884670,325.856660,692.002324
2.940000,0.960270,0.884755,325.611496,691.849980
2.950000,0.959928,0.884776,325.274348,691.727432
2.960000,0.959641,0.884732,324.846072,691.634013
2.970000,0.959409,0.884622,324.327600,691.568890
2.980000,0.959233,0.884446,323.719930,691.531060
2.990000,0.959112,0.884204,323.024113,691.519363
3.000000,0.959047,0.883894,322.241257,691.532484
3.010000,0.959038,0.883516,321.372516,691.568965
3.020000,0.959085,0.883069,320.419098,691.627209
3.030000,0.959187,0.882553,319.382258,691.705493
3.040000,0.959345,0.881967,318.263304,691.801972
3.050000,0.959557,0.881311,317.063595,691.914690
3.060000,0.959824,0.880583,315.784542,692.041589
3.070000,0.960146,0.879784,314.427611,692.180521
3.080000,0.960521,0.878913,312.994324,692.329254
3.090000,0.960950,0.877968,311.486263,692.485484
3.100000,0.961432,0.876951,309.905065,692.646849
3.110000,0.961965,0.875860,308.252436,692.810935
3.120000,0.962549,0.874696,306.530140,692.975288
3.130000,0.963184,0.873457,304.740011,693.137430
3.140000,0.963868,0.872145,302.883951,693.294866
3.150000,0.964601,0.870758,300.963931,693.445099
3.160000,0.965381,0.869297,298.981995,693.585642
3.170000,0.966207,0.867763,296.940260,693.714028
3.180000,0.967078,0.866155,294.840917,693.827827
3.190000,0.967993,0.864475,292.686233,693.924658
3.200000,0.968950,0.862722,290.478552,694.002200
3.210000,0.969948,0.860898,288.220296,694.058207
3.220000,0.970986,0.859003,285.913964,694.090522
3.230000,0.972062,0.857040,283.562133,694.097088
3.240000,0.973174,0.855008,281.167460,694.075954
3.250000,0.974320,0.852909,278.732710,694.025201
3.260000,0.975500,0.850746,276.260687,693.943085
